OMNeT++ Discrete Event Simulation  (C) 1992-2021 Andras Varga, OpenSim Ltd.
Version: 5.7, build: 211004-1d27e5f35e, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Starting...

$ cd /home/veins/src/veins/examples/veins
$ opp_run -m -n .:../../src/veins --image-path=../../images -l ../../src/veins omnet.ini

Setting up Qtenv...

Loading NED files from .:  1
Loading NED files from ../../src/veins:  43

Loading images from '/home/veins/src/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/veins/src/omnetpp-5.7/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

Meu ID: 16 | Minha Posição: (30.1,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -nan m/s²
Meu ID: 16 | Minha Posição: (32.4097,526.6,0) |  |  |  | Velocidade: 2.30972 | Aceleração: 2.30972 m/s²
Meu ID: 16 | Minha Posição: (36.8948,526.6,0) |  |  |  | Velocidade: 4.48507 | Aceleração: 2.17535 m/s²
Meu ID: 16 | Minha Posição: (43.2997,526.6,0) |  |  |  | Velocidade: 6.40496 | Aceleração: 1.91989 m/s²
Meu ID: 16 | Minha Posição: (52.2323,526.6,0) |  |  |  | Velocidade: 8.93256 | Aceleração: 2.52761 m/s²
Meu ID: 16 | Minha Posição: (63.049,526.6,0) |  |  |  | Velocidade: 10.8167 | Aceleração: 1.88409 m/s²
Meu ID: 16 | Minha Posição: (76.0644,526.6,0) |  |  |  | Velocidade: 13.0154 | Aceleração: 2.1988 m/s²
Meu ID: 16 | Minha Posição: (91.5106,526.6,0) |  |  |  | Velocidade: 15.4462 | Aceleração: 2.43078 m/s²
Meu ID: 16 | Minha Posição: (106.835,526.6,0) |  |  |  | Velocidade: 15.3246 | Aceleração: -0.12167 m/s²
Meu ID: 16 | Minha Posição: (121.872,526.6,0) |  |  |  | Velocidade: 15.0366 | Aceleração: -0.287995 m/s²
Meu ID: 22 | Minha Posição: (30.1,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -nan m/s²
Meu ID: 16 | Minha Posição: (136.461,526.6,0) |  |  |  | Velocidade: 14.5897 | Aceleração: inf m/s²
Meu ID: 16 | Minha Posição: (151.677,526.6,0) |  |  |  | Velocidade: 15.2155 | Aceleração: 0.625798 m/s²
Meu ID: 22 | Minha Posição: (32.4999,526.6,0) |  |  |  | Velocidade: 2.39992 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (166.287,526.6,0) |  |  |  | Velocidade: 14.6102 | Aceleração: 12.2102 m/s²
Meu ID: 22 | Minha Posição: (36.6499,526.6,0) |  |  |  | Velocidade: 4.14995 | Aceleração: -inf m/s²
